#{"t_start": 1615678322.2314985, "env_id": null}
r,l,t,is_success,time
40000,1,28316.134811,True,322
3248.56379,1,28343.530897,False,500
40000,1,28349.499255,True,102
3250.476473,1,28377.32896,False,500
3221.184156,1,28404.836948,False,500
3252.00957,1,28432.795625,False,500
3235.424405,1,28460.506823,False,500
3259.281129,1,28480.836146,False,500
3252.608223,1,28508.462121,False,500
40000,1,28514.510882,True,102
40000,1,28520.521801,True,102
3229.119269,1,28548.167878,False,500
40000,1,28554.509625,True,108
3247.369557,1,28582.343104,False,500
40000,1,28588.420778,True,102
40000,1,28608.855331,True,362
3238.810221,1,28636.769261,False,500
40000,1,28642.829032,True,102
40000,1,28650.660702,True,135
40000,1,28656.726606,True,102
3257.763858,1,28684.136345,False,500
40000,1,28690.507515,True,108
3234.809977,1,28718.047315,False,500
3173.631973,1,28745.904661,False,500
40000,1,28764.19236,True,329
40000,1,28770.183542,True,102
40000,1,28776.273287,True,102
3197.449865,1,28803.95662,False,500
40000,1,28810.010242,True,102
40000,1,28816.07446,True,102
3262.212075,1,28843.874373,False,500
3247.127264,1,28871.522218,False,500
40000,1,28877.579669,True,102
40000,1,28883.66252,True,102
3255.135847,1,28911.093725,False,500
3221.55064,1,28938.761294,False,500
40000,1,28943.408462,True,102
3255.695271,1,28970.706312,False,500
40000,1,28976.700283,True,102
3236.411152,1,29004.108967,False,500
3231.446984,1,29032.119526,False,500
3247.037412,1,29060.139391,False,500
40000,1,29066.211577,True,102
40000,1,29084.787953,True,334
3241.844631,1,29105.298103,False,500
40000,1,29111.288723,True,102
40000,1,29117.294493,True,102
40000,1,29123.368734,True,102
3232.142889,1,29151.285422,False,500
3229.273406,1,29179.054384,False,500
40000,1,29183.715955,True,102
3145.711466,1,29211.713212,False,500
40000,1,29217.770137,True,102
40000,1,29223.84381,True,102
3261.004478,1,29251.803887,False,500
40000,1,29257.866472,True,101
40000,1,29275.983836,True,328
40000,1,29282.004829,True,102
40000,1,29288.149721,True,102
40000,1,29294.195372,True,102
3262.848789,1,29321.879429,False,500
40000,1,29327.854668,True,102
40000,1,29333.932803,True,102
3238.764619,1,29354.157716,False,500
40000,1,29367.046243,True,228
40000,1,29373.124654,True,102
3258.966381,1,29393.737603,False,500
